,채용제목,회사,근무지,경력,학력,고용형태,상세url,상세게시글id,주요업무,자격요건,우대사항,채용절차,복지 및 혜택,급여,스킬,업종
0,[전액국비] 취업연계 첨단기술 교육생 모집(반도체/AI/응용SW/로봇/스마트제조/IoT),대한상공회의소,"경기 과천시 과천대로7나길 60  C동 5층, 6층",경력무관,학력무관,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48484425?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=8&sc=630,48484425,,,,,,"연봉 5,000~8,000만원 (면접 후 결정)","C#, C++, JAVA, Python, Tensorflow, AI 모델 보안",전기·전자·제어
1,AI엔지니어(AI Agent),㈜에스원,서울 중구 퇴계로 234  2층&7층,신입·경력,대졸이상,연수생/교육생,https://www.jobkorea.co.kr/Recruit/GI_Read/48382443?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=15&sc=630,48382443,,,,,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 이",회사 내규에 따름,Python,보안시스템 서비스업
2,AI엔지니어(VLM/VLA),㈜에스원,"서울 강남구 삼성동 77-9번지 찬앤찬타워 3층,4층",:,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48403881?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=9&sc=630,48403881,"ㆍ인공지능/머신러닝 솔루션 엔진 개발 ㆍ DB/Python 기반 스킬 ㆍDocker, kubernetes, Python, Tensorflow, Linux, Scikit-Learn, Graph RAG 핵심역량 ㆍ 계획성, 성취지향성, 꼼꼼함","AI엔지니어/개발자 ( ○명 ) 담당업무 ㆍ인공지능/머신러닝 솔루션 엔진 개발 ㆍ DB/Python 기반 스킬 ㆍDocker, kubernetes, Python, Tensorflow, Linux, Scikit-Learn, Graph RAG 핵심역량 ㆍ 계획성, 성취지향성, 꼼꼼함 자격요건 ㆍ학력 : 대졸이상 ㆍ경력 : 경력","ㆍ리눅스 환경 개발 경험자 ㆍ`Graph RAG,온톨로지 개발 연구`에 참여하고 싶은 분",ㆍ서류전형 > 1차면접 > 2차면접 > 최종합격 ㆍ면접일정은 서류심사 통과 되신 분에게 개별 통보 드립니다,,회사 내규에 따름 (면접 후 결정),"ㆍDocker, kubernetes, Python, Tensorflow, Linux, Scikit-Learn, Graph RAG",의료(병원분류별)
3,"AI엔지니어(기획,개발,운영)",㈜에스원,,경력무관,학력무관,계약직(근무기간 12개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48443288?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=10&sc=630,48443288,· 이미지 및 동영상 생성 AI 라이브 중인 모델 개선 · 이미지 및 동영상 생성 AI 모델 및 서비스 개발 · 이미지 및 동영상 생성 AI 관련 신기술 리서치,"· 2년 이상의 Image Generation 관련 프로젝트 수행 경험이 있거나 AI 관련 석사 이상의 학위를 보유하신 분 · Python, C/C++ 등 하나 이상의 프로그래밍 언어를 능숙하게 활용할 수 있으신 분 · 딥러닝 및 AI 기술에 대한 높은 관심과 열정이 있으신 분 · 실제 사용자에게 실데이터를 적용하고 프로덕트화를 진행하실 분","· AI 기술에 대한 높은 이해도를 바탕으로 학회 논문 게재 경험이 있으신 분 · AI 프로덕트의 생애 주기 (문제 정의, 데이터 수집 및 가공, 분석, 모델링, 실험 단계의 전체 프로세스) 경험이 있으신 분 · 캐글/알고리즘/공모전 수상, 학술 발표 등의 경험이 있으신 분 ◎",접수기간 : 채용시 마감,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금, 상해보험 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 리프레시 휴가, 노동절 휴무, 창립일 행사, 워크샵/MT 편의·여가·건강 사내 동호회, 인포멀지원, 출퇴근 셔틀버스, 건강검진, 점심 식사 지원, 저녁 식사 지원, 아침 식사 지원, 휴양시설 복리후생 더보기 이",회사 내규에 따름,"C, C++, Python, Kaggle",게임·애니메이션
4,[잡코리아헤드헌팅] Samsung 에스원 - AI엔지니어(AI Agent),잡코리아 헤드헌터,,근무지,학력무관,,https://www.jobkorea.co.kr/Recruit/GI_Read/48471503?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=20&sc=630,48471503,,모집분야 및 자격요건 정보 포지션 최소경력,"기본우대 장애인, 보훈대상자","서류전형 합격자에 한하여 개별 연락드립니다. 기타사항 고유식별정보(주민등록번호, 여권번호 등) 민감정보(종교, 정치 등)는 기재하지 마세요 보훈, 장애 대상자는 관련 서류 제출 시 관계법에 따라 우대합니다 해외여행에 결격사유가 없는 분에 한하여 지원 가능합니다 영문이름은 여권상의 이름과 동일하게 기재 하십시오 입사지원서 내용에 허위 사실이 판명될 경우 입사가 취소될 수 있습니다 회사정보 및 문의방법 회사정보 : 채용 공식 블로그( blog.naver.com/thermofishercareers ) 문의방법 : 카카오 플러스친구( pf.kakao.com/_inxcpj ) 카카오톡에서 ‘써모피셔사이언티픽코리아 채용’을 검색하여 친구추가 후 메세지로 채용관련 문의를 보내주세요. 지역 전체 회원가입/로그인 기업 서비스 JOB 찾기 합격축하금 공채정보 신입·인턴 기업·연봉 콘텐츠 취업톡톡 써모피셔사이언티픽 코리아 써모 피셔 사이언티픽 코리아 1월 4주차 신입/경력 채용 🎁 인센티브 상세요강","연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 출산휴가, 노동절 휴무 보상·수당·지원 경조금, 인센티브, 복리후생 지원 관련 태그 마케팅기획 시장분석 시장조사 데이터분석 브랜드기획 전략기획 콘텐츠기획 PL·PM·PO PM 컨설턴트 사무담당자 본 채용정보는 잡코리아의 동의없이 무단전재,재배포,재가공할수 없으며,구직활동 이외의 용도로 사용할 수 없습니다. 불법/허위/과장/오류 신고 스마트픽 AD 지금이 입사 행운의 기회! ㈜바른법률에이치알학원 로펌 법무법인 법률사무원 국비 무료 취업교육과정 모집 학력무관 경력무관 연수생/교육생 서울 > 강남구 ~02/27(금) 즉시 지원 지원자를 기다리고 있어요 로미지안가든㈜ [로미지안 서울사무소] 사무지원 정규직 채용 초대졸↑ 경력무관 정규직 서울 > 강남구 ~02/20(금) 즉시 지원 지금이 입사 행운의 기회! 인스케이프디자인 가구 관련 영업관리 및 전반적인 제안 업무를 담당할 센스 있는 인재를 찾습니다. 초대졸↑ 신입·경력 정규직 서울 > 강남구 ~02/18(수) 즉시 지원 직무 마케팅기획 외 17 고용형태 정규직, 계약직(근무기간 16개월), 인턴(근무기간 6개월) 경력 신입·경력 급여 회사 내규에 따름 근무지역 서울 강남구, 인천 중구, 대구 전지역 마감일 ~1/30(금) 마감공고 업계에서 인정받는 알짜",회사 내규에 따름,"Excel, SAP, ERP, 영어, ADsP 자격, ISO, ITIL, ITSM, Microsoft Office, PMP 자격, RPA, 운전면허, 프레젠테이션",제약·보건·바이오
5,[잡코리아헤드헌팅] Samsung 에스원 - AI엔지니어(VLM/VLA),잡코리아 헤드헌터,경북 포항시 남구 동해안로6213번길 27  포스코부속의원,경력,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48440358?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=16&sc=630,48440358,,,,,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 휴무·휴가·행사 격주휴무 사내제도·성장 유연근무제 복리후생 더보기 이",회사 내규에 따름 (면접 후 결정),"Python, SQL, ADsP 자격",제강업
6,성형외과 AI엔지니어/개발자(경력자),에스씨301의원,서울 서초구 효령로 176  kt방배빌딩 B동,경력,학력무관,"정규직(수습 3개월, 단, 처우협의를 통해 고용형태(정규직/계약직)가 결정될 수 있음)",https://www.jobkorea.co.kr/Recruit/GI_Read/48445917?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=19&sc=630,48445917,,,"기본우대 장애인, 보훈대상자, 관련 자격증 보유자",,"협의를 통해 고용형태(정규직/계약직)가 결정될 수 있음) 급여 회사 내규에 따름 근무지주소 서울 서초구 효령로 176 (방배동) kt방배빌딩 B동 지도보기 인근지하철 2호선 방배역 에서 600m (도보 9분) 이내 지원자격 경력 경력 (2년이상) 학력 학력무관 스킬 ABAP, Oracle, PostgreSQL, SAP, ERP, DBMS, ETC 우대조건 기본우대 장애인, 보훈대상자, 관련 자격증 보유자",회사 내규에 따름,"ABAP, Oracle, PostgreSQL, SAP, ERP, DBMS, ETC",컴퓨터시스템 통합 자문 및 구축 서비스업
7,[Global Research] AI엔지니어/AI개발자 (경력무관) 채용,㈜글로벌리서치,부산 해운대구 센텀2로 25  트리노드 15층,2년,학력무관,,https://www.jobkorea.co.kr/Recruit/GI_Read/48352380?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=11&sc=630,48352380,"게임 운영을 혁신하고, 개인화된 경험을 제공하기 위한 AI 기반 시스템 및 자동화 도구 개발 유저 행동 분석, 추천, 콘텐츠 생성 등 AI 기술을 활용한 기능 설계 및 구현 자연어 처리, 코드 생성, UI 조합 등 생성형 AI를 활용한 새로운 인터랙션 실험 및 적용 문제 해결을 위한 기능 기획부터 설계, 구현, 개선까지 엔드 투 엔드 개발 주도 다양한 기술과 모델을 탐색하고 서비스에 적합한 방식으로 실험 및 도입 기획자 및 디자이너와 협업하여 AI 기반 사용자 경험을 정교하게 설계하고 개선 팀 내 기술 문화를 함께 만들어가며, AI 관련 기술 공유나 개발 방식 개선에 적극적으로 기여","웹 서비스 개발 경력 2년 이상이신 분 프론트엔드·백엔드·인프라 전반에 대한 이해를 바탕으로 한 풀스택 개발 경험이 있으신 분 React + TypeScript 기반 웹 애플리케이션 개발 경험이 있으신 분 Next.js 및 컴포넌트 기반 UI 시스템(Tailwind CSS, shadcn/ui 등) 실무 활용 경험이 있으신 분 REST API 또는 GraphQL 설계 및 연동 경험이 있으신 분 Node.js / Python (FastAPI, Flask 등) 기반 서버 개발 경험이 있으신 분 Database (PostgreSQL, MySQL, Redis 등) 설계 및 최적화 경험이 있으신 분 CI/CD, 클라우드 서비스(AWS, GCP, Vercel 등), Docker 환경에서의 서비스 배포 경험이 있으신 분 AI 및 개발 생산성 도구 활용 능력과 AI 코딩 워크플로우에 대한 이해도가 있으신 분 문서화, 협업 커뮤니케이션, 유저 중심의 사고 방식을 갖추신 분","AI 서비스 기반 웹 애플리케이션 주도적으로 개발 경험이 있으신 분 웹 애플리케이션 성능 최적화 경험이 있으신 분 (예: Lazy Loading, Code Splitting, Web Vitals 분석 등) 코드 품질 개선 및 리팩토링 주도 경험이 있으신 분 API 연동, CI/CD 구축 등 Backend 및 DevOps 관련 실무 경험이 있으신 분 기술 문화 조성 또는 개발 생산성 향상에 기여한 경험이 있으신 분 바이브 코딩(컨텍스트 엔지니어링) 경험이 있으신 분 참고 사항 필수 제출 항목: 이력서 및 자기소개서, 경력기술서, 포트폴리오",,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금 휴무·휴가·행사 주5일제, 연차제도, 정기휴가, 경조휴가, 반차제도, 리프레시 휴가, 출산휴가, 육아휴직, 남성출산휴가, 보건휴가, 노동절 휴무, 워크샵/MT 편의·여가·건강 건강검진, 식사 지원 복리후생 더보기 관련 태그 히든챔피언 채용관 IT 개발자 전문 채용관 부산·울산·경남 지역채용관 백엔드개발자 프론트엔드개발자 풀스택 AWS Docker GCP 본 채용정보는 잡코리아의 동의없이 무단전재,재배포,재가공할수 없으며,구직활동 이외의 용도로 사용할 수 없습니다. 불법/허위/과장/오류 신고 로그인하고 비슷한 조건의 AI추천공고를 확인해 보세요! ㈜퀸즈코퍼레이션 [디너의여왕] 웹개발자/영업 분야별 채용(신입/경력) 학력무관 신입·경력 서울전지역, 강남구 채널관리자,영업관리,인바운드상담원 외 4건 ~02.25 (수) 즉시 지원 ㈜문토(munto) [시리즈A투자유치] 웹 풀스택 개발자 합격축하금 100만원 대졸↑ 경력2년↑ 서울 > 강남구 백엔드개발자 ~02.12 (목) 즉시 지원 ㈜문토(munto) [시리즈A투자유치] Node.js 개발자 합격축하금 100만원 대졸↑ 경력2년↑ 서울 > 강남구 백엔드개발자 ~02.12 (목) 즉시 지원 노아에이티에스㈜ 노아에이티에스 2026년 공채 15기 신입사원 채용 대졸↑ 신입 서울전지역, 강남구 웹기획,컨설턴트,백엔드개발자 외 6건 ~02.07 (토) 즉시 지원 ㈜와이즈에이아이 Backend 개발자 채용 학력무관 경력2년↑ 경기 > 성남시 분당구 백엔드개발자 상시채용 즉시 지원 ㈜커머스톤컨설팅 각 부문별 개발자",회사 내규에 따름 (면접 후 결정),,게임·애니메이션
8,AI엔지니어 모집(전문연구요원or경력),라온피플㈜,서울 중구 세종대로 39  17층 인력개발사업단,신입·경력,학력무관,연수생/교육생,https://www.jobkorea.co.kr/Recruit/GI_Read/48319487?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=1&sc=551,48319487,,,,,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 관련 태그 신입·인턴 채용관 IT 개발자 전문 채용관 대구·경북 지역채용관 대전·세종·충청 지역채용관 부산·울산·경남 지역채용관 백엔드개발자 클라이언트 본 채용정보는 잡코리아의 동의없이 무단전재,재배포,재가공할수 없으며,구직활동 이외의 용도로 사용할 수 없습니다. 불법/허위/과장/오류 신고 로그인하고 비슷한 조건의 AI추천공고를 확인해 보세요! 영풍전자㈜ 영풍그룹 계열사 1000대",회사 내규에 따름 (면접 후 결정),,일반 서적 출판업
9,[SC301의원 삼성동/코엑스] 성형외과 AI엔지니어/개발자(경력자)모집,에스씨301의원,대한민국 서울특별시 중구 순화동 175 에프엔타워 순화(FN TOWER SUNHWA,:,:,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48456396?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=5&sc=630,48456396,"] ㆍVLM, VLA 활용, 보안/안전분야 적용 가능한 아이템 발굴 ㆍ최신 VLM, VLA 활용한 파인튜닝 및 추론 서비스 개발 ㆍAI 모델 데모용 웹 UI 개발 ㆍ모델 배포 및 운영 환경 구축 지원","‍ [필수자격] 학력 : 박사학위 이상(컴퓨터, 전산, AI 관련) 전문지식 : ㆍAI 모델 파인튜닝 기법 (PEFT, RLHF, RLAIF 등) ㆍPython 기반 백엔드 API 구현 관련 기본 지식 ㆍGradio 또는 HTML/CSS로 데모 UI 구성 가능한 능력 ㆍRESTful API 설계 및 송수신 구현 능력 ㆍLinux/Windows WSL 기반 Docker 운영 [","] ㆍ경력 : AI 엔지니어 경력 3년 이상 (석사기간 제외) ㆍAI 관련 리더보드 입상자 ㆍAI 데모/프로덕트 프로토타이핑 경험 ㆍ웹 표준 및 접근성 고려한 UI 개발 경험 ㆍ클라우드 또는 온프레미스 MLOps 경험 ㆍ멀티 노드 분산 처리 경험 (예: Ray, DeepSpeed) ㆍONNX/TensorRT 기반 추론 최적화 경험 ㆍFFmpeg, OpenCV 등 영상 전처리 경험 진행 절차 [지원하기] 버튼으로",,,회사 내규에 따름,,포털·컨텐츠·커뮤니티
10,[네오플] [전략분석실] AI 엔지니어 (근무지: 서울),㈜네오플,대한민국 서울특별시 중구 순화동 175 에프엔타워 순화(FN TOWER SUNHWA,:,:,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48456326?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=4&sc=630,48456326,] ㆍSVMS 에 활용 가능한 AI 에이전트 아이템 및 사례 발굴 ㆍAI 에이전트 아키텍쳐 설계 및 개발 ㆍMCP(Model Context Protocol) 설계 및 개발 ㆍAI 에이전트 평가 지표 정의 및 자동화 평가 시스템 구축 ㆍ다양한 언어 모델 및 데이터 연동 ㆍAI 에이전트 성능 모니터링 및 디버깅 ㆍAI 에이전트 배포 및 운영 환경 구축 지원,"‍ [필수자격] 학력 : 박사학위 이상(컴퓨터, 전산, AI 관련) 전문지식 : ㆍPython 및 관련 라이브러리 활용 능력 - Langchain, Langgraph, FastAPI, OpenAI 등 ㆍRAG, Agent, MCP 전체 워크플로우에 대한 기본 지식 ㆍRESTFul API 등 외부 연동 기술 개발 능력 ㆍModel(LLM, Embedding, Re-ranking) 및 VectorDB 활용 경험 ㆍ프롬프트 엔지니어링 ㆍGit, Jira 등 협업 도구 활용 능력 [","] ㆍ경력 : AI 엔지니어 경력 3년 이상 (석사기간 제외) ㆍEnd-to-End 에이전트 설계 및 운영 경험 ㆍAI 에이전트 워크플로우에 대한 설계 및 개발 경험 ㆍMCP 도구의 제작, 배포 적용 경험 ㆍ에이전트 평가 지표 수립 및 자동화 평가 시스템 구축 경험 ㆍ에이전트 고도화를 적용한 성능 향상 경험 ㆍ온프레미스, 클라우드 플랫폼을 활용한 프로젝트 경험 진행 절차 [지원하기] 버튼으로",,,회사 내규에 따름,,포털·컨텐츠·커뮤니티
11,[부산/경력 2년 이상] 코어팀 - AI엔지니어(풀스택 개발),트리노드㈜,"주소 : 서울 강남구 삼성동 77-9번지 찬앤찬타워 3층,4층",:,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48410469?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=6&sc=630,48410469,,,,,,,,의료(병원분류별)
12,[경력] Vision AI 개발자/연구원을 모집합니다.,㈜엠에이치엔씨티,주소 : 서울 중구 세종대로7길 25 ) 에스원 빌딩,:,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48449636?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=2&sc=630,48449636,,,,,,,,경비 및 경호 서비스업
13,이런 분을 찾습니다.,노아에이티에스㈜,,신입,성적증명서,정규직(수습 6개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48507154?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=13&sc=630,48507154,자격요건 신입 개발자: IT개발 (AI tool 활용,"모집부문 및 자격요건 정보 구분 모집부문 담당업무 자격요건 신입 개발자: IT개발 (AI tool 활용 필수) 금융시스템 개발 [지원 자격] 신입, 대학교 졸업(4년) 이상 해외여행에 결격 사유가 없는 자 [자격 요건] 컴퓨터공학, 금융공학, 수학, 통계학 등 관련 전공자 Java, Python, SQL 등 프로그래밍 언어 1개 이상에 대한 기초 이해가 있는 자 Chat GPT, Claude, Copilot 등 생성형 AI를 활용해 문제를 해결해 본 경험이 있는 자 복잡한 인과관계를 파악하고 구조화할 수 있는 논리력을 갖춘 자 심사기준 심사기준 구분 내용","# 이런 분을 찾습니다. 복수전공자 : 전산과 금융관련 분야를 복수 전공한 분 금융 IT 관심 : 핀테크, 주식/채권, 회계 등 금융 도메인에 대한 호기심이나 학습 경험이 있는 분 프롬프트 엔지니어링 : 원하는 결과를 얻기 위해 AI에게 정교하게 질문(prompting)할 수 있는 능력을 갖춘 분 빠른 실행력 : 완벽한 계획보다 빠른 프로토타이핑과 개선(literative process)을 즐기는 분 직무소개 # 이런 업무를 합니다. AI 기반 자산운용 시스템 개발 : AI tool을 활용하여 프론트/백엔드 코드 생성 및 비즈니스 로직 구현 AI 산출물 검증 및 최적화 : AI가 작성한 코드의 보안성, 효율성, 정확성 검토 및 디버깅 통합 패키지 구축 : 프론트 - 미들 - 백오피스 모듈 간의 인터페이스 연동 및 테스트 자동화 시나리오 설계 요구사항 분석 및 문서화 : 현업(금융 전문가)의 요구사항을 분석하고, AI를 활용해 명세서 및 기술 문서 작성","서류심사 사전과제 제출 (*서류 합격자에 한함) 1차 대면면접 2차 최종면접 합격자발표 * 상세일정 서류심사 : 2026.01.29(목)~2026.02.07(토), 10일간 서류전형 결과발표 및 사전과제 배포 : 2026.02.10(화) 사전과제 제출기간 : 2026.02.12(목)~2026.02.13(금) 1차 대면면접 : 2026.02.23(월)~2026.02.26(목) 2차 최종면접 : 2026.03.03(화) 입사 예정일 : 2026.03.09(월) 제출서류 이력서 및 자기소개서(잡코리아 입사지원) 최종 학력 성적증명서 지원서 제출 전 학점, 어학성적, 자격증 등 각종 기재사항을 정확히 기재하여 평가 시 불이익이 없도록 주의해주시기 바랍니다. (입사 전 증빙서류 제출 필수)","의료/건강 : 정기건강검진 출산/육아 : 산전후 휴가, 육아휴직, 남성출산휴가 근무 환경 : 중식 지원(모바일 식권), 회의실, 노트북, 각종 경조사 지원 교육/훈련 : 신입사원교육(OJT), 직무능력향상교육 휴일/휴가 : 연차휴가, 경조휴가제, 근로자의날휴무, 대체휴일휴무 보험/연금 : 4대보험, 퇴직연금 근무지 정보 서울 (여의도, 종로, 강남 등 금융사 주요 밀집지역) 본사 : 서울시 종로구 청계천로41, 12층(서린동, 영풍빌딩) 지역 전체 회원가입/로그인","연봉 4,500만원 이상","CSS, GraphQL, HTML, Node.js, Redis, RestAPI, SaaS, Spring Boot, TypeScript, Vue.js, Confluence, Figma, Notion, Express.js, Nest.js, SCSS, SSR, Vuetify, Nuxt.js, WebSocket",솔루션·SI·CRM·ERP
14,"[이지서티] AI 개발자(AI엔지니어, ML엔지니어) 모집",이지서티,경기 과천시 과천대로2길 48  펄어비스 홈 원,신입,학력무관,인턴(3월 30일 ~ 5월22일 / 8주),https://www.jobkorea.co.kr/Recruit/GI_Read/48509597?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=17&sc=630,48509597,,"경력 신입 학력 학력무관 스킬 Android, C, C#, C++, Google Analytics, HTML, Python, WPF, 3ds Max, Blender, Photoshop, Substance, React Native",기본우대 유관업무 경험자(인턴·알바),,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 상해보험 휴무·휴가·행사 주5일제, 연차제도, 경조휴가 편의·여가·건강 점심 식사 지원, 저녁 식사 지원, 아침 식사 지원 복리후생 더보기 이",회사 내규에 따름,"Android, C, C#, C++, Google Analytics, HTML, Python, WPF, 3ds Max, Blender, Photoshop, Substance, React Native",게임·애니메이션
15,생성형AI 활용 사이버보안 전문인력 양성과정,에스케이쉴더스㈜,"대한민국 서울특별시 서초구 서초대로 301, 동익성봉빌딩",경력,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48452320?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=18&sc=630,48452320,"공고, 이력서 등 (비)정형 데이터 기반의 서비스 목적에 맞는 전처리 파이프라인 설계 및 데이터 엔지니어링·ML 모델 개발 전반 참여 문제 정의에 맞는 유의미한 피처 발굴 과 Machine Learning / Deep Learning 알고리즘 성능 실험·비교 및 점진적 고도화 Hugging Face 기반 오픈소스 모델 및 상용 LLM API 활용을 통한 서비스 요구사항에 부합하는 LLM / Agent 구조 설계 임베딩 모델, Vector Search, RAG 파이프라인을 포함한 Prompt Engineering, Orchestration, Tracing, 가드레일, Evaluation 등 LLM 서비스 품질 개선을 위한 전반적인 작업 수행 Regression / Classification / Time Series 모델부터 생성형 모델 및 딥러닝 모델까지 폭넓은 모델링 경험과 모델 학습 → 파이프라인 구성 → 서빙 환경 연계 전 과정 수행 SQL 및 PySpark 기반 대용량 데이터 전처리 , PyTorch, TensorFlow, Scikit-learn, MLflow, Airflow 등을 활용한 모델 학습·실험 관리·파이프라인 운영 데이터·모델·실험 결과를 기반으로 개발·기획 등 다양한 직군과의 협업 및 문제 해결을 위한 의사결정 기여 단순 모델 개발을 넘어 실제 사용자 경험과 비즈니스 임팩트 창출 을 목표로 한 빠른 실험과 학습을 통해, 더 나은 모델과 시스템을 함께 만들어갑니다.","Data Scientist 또는 ML Engineer로서 3년 이상의 실무 경험을 보유 하셨거나, 이에 준하는 프로젝트 경험과 문제 해결 역량을 갖춘 분 개발, 기획 등 다양한 직군과 협업하며 추천 알고리즘, 검색, LLM, 이상치 탐지 등 ML 기반 프로젝트를 실제로 수행해 본 경험이 있는 분 통계, 데이터사이언스, 컴퓨터공학, 산업공학 등 관련 전공을 기반으로 한 분석 및 모델링 기초 역량을 갖춘 분","IT 도메인 또는 플랫폼 기반 서비스 환경에서 모델 개발부터 서비스 적용, 성과 측정까지 End-to-End로 모델링 업무를 수행 하며 비즈니스 임팩트를 만들어본 경험이 있는 분 문제를 스스로 정의하고 적극적으로 소통하며 주어진 과제를 끝까지 책임감 있게 마무리하는 분 새로운 AI / ML 기술과 트렌드에 관심이 많고, 직접 리서치하고 실험한 내용을 팀 내에 공유하는 것을 즐기는 분",서류전형 > 1차면접 > 2차면접 > 처우협의 > 입사,웍스피어 채용 홈페이지 바로가기 웍스피어 기술블로그 바로가기 지역 전체 회원가입/로그인 기업 서비스 JOB 찾기 합격축하금 공채정보 신입·인턴 기업·연봉 콘텐츠 취업톡톡 웍스피어(유) [웍스피어] 데이터사이언티스트 (3년이상) ⭐ 11146명 이상 찜한 기업 👀 적극 채용중 📜 설립 31년차 🏢 중견기업 📈 매출 성장 상세요강,회사 내규에 따름,,포털·컨텐츠·커뮤니티
16,26년 상반기 포스코 경력사원(엔지니어) 채용,㈜포스코,서울 서초구 반포대로 9  3-8층,경력무관,대학원(석사)이상,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48397194?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=7&sc=630,48397194,,,,,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 반차제도, 워크샵/MT, 패밀리데이 편의·여가·건강 건강검진 복리후생 더보기 관련 태그 참 괜찮은 강소",회사 내규에 따름 (면접 후 결정),"C#, Javascript, Python, Microsoft Office, AI Agent",컨설팅·연구·조사
